Time(s), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V)
6.770107,599.750000,14.625000,-271.125000,452.562500,-255.125000,-416.218750,-8.648438,-1318.312500,-0.187500,-0.289062,71.398438,-0.070312,0.460938
6.833025,556.281250,6.437500,-233.343750,459.031250,-250.375000,-393.500000,-9.945312,-1321.875000,-1.875000,-0.500000,-42.789062,-0.257812,0.000000
6.895926,567.500000,23.406250,-231.625000,458.500000,-259.156250,-397.562500,-11.625000,-1287.375000,-0.562500,-0.195312,-31.203125,0.632812,0.312500
6.958847,592.093750,31.281250,-269.093750,473.000000,-235.031250,-383.718750,-11.476562,-1373.812500,-0.187500,-0.023438,-7.828125,0.468750,-0.359375
7.021744,560.843750,17.781250,-244.968750,461.125000,-247.031250,-377.968750,-10.937500,-1225.125000,-0.562500,-0.429688,-14.757812,-0.343750,0.406250
7.084940,572.843750,6.468750,-209.718750,461.406250,-243.937500,-388.593750,-11.539062,-1372.125000,-6.937500,-0.148438,-10.156250,0.234375,0.289062
7.149359,556.500000,19.187500,-226.781250,482.875000,-217.531250,-378.781250,-11.718750,-1374.750000,-0.750000,0.265625,-18.882812,-0.156250,0.101562
7.212901,612.156250,23.031250,-273.187500,474.531250,-224.000000,-387.093750,-14.632812,-1278.375000,-0.187500,0.742188,-27.164062,0.093750,0.148438
7.275814,618.593750,33.843750,-221.625000,490.531250,-240.250000,-359.687500,-12.750000,-1400.437500,-0.562500,1.000000,8.945312,0.156250,0.750000
7.338701,588.281250,17.562500,-236.281250,474.906250,-228.281250,-374.562500,-12.968750,-1248.562500,-0.375000,-0.242188,-13.929688,0.359375,-0.640625
7.401619,628.187500,25.875000,-252.750000,484.218750,-241.468750,-357.468750,-14.476562,-1080.750000,-0.187500,1.171875,-9.695312,-0.671875,0.851562
7.464505,570.812500,31.625000,-219.187500,502.812500,-197.750000,-398.187500,-15.390625,-1321.687500,-0.750000,1.039062,-18.835938,-0.140625,0.656250
7.527442,597.937500,41.312500,-202.500000,490.406250,-251.000000,-388.187500,-15.156250,-1384.500000,-0.375000,-0.515625,-6.546875,0.031250,0.828125
7.590628,634.656250,24.843750,-240.093750,476.406250,-231.562500,-380.281250,-15.101562,-1298.437500,-0.750000,0.281250,-13.929688,0.328125,0.632812
7.655052,642.750000,29.781250,-236.843750,496.968750,-209.531250,-364.718750,-16.242188,-1385.437500,-0.750000,-1.046875,11.851562,-0.210938,-0.078125
7.718632,624.812500,39.187500,-252.093750,498.593750,-238.750000,-343.250000,-16.500000,-1309.875000,-0.937500,1.023438,-39.273438,0.828125,-0.289062
7.781533,616.812500,40.375000,-256.843750,483.218750,-167.843750,-369.250000,-16.101562,-1302.750000,11.625000,-0.851562,-10.203125,-0.031250,1.140625
7.844410,564.812500,57.687500,-232.843750,489.625000,-198.375000,-373.625000,-17.484375,-1380.000000,-0.937500,-0.039062,17.242188,0.757812,0.281250
7.907321,567.281250,65.156250,-183.125000,486.750000,-188.000000,-360.687500,-17.367188,-1296.750000,-0.750000,1.023438,3.789062,-0.421875,0.140625
7.970197,563.812500,38.062500,-244.656250,487.156250,-219.656250,-358.656250,-17.296875,-1305.937500,-0.375000,1.328125,-41.031250,0.187500,1.570312
8.033136,583.406250,39.625000,-217.281250,469.000000,-229.031250,-369.906250,-17.492188,-1335.000000,-0.187500,1.179688,-19.914062,0.226562,-1.992188
8.096305,573.656250,52.750000,-207.437500,483.843750,-223.375000,-360.125000,-19.648438,-1402.687500,5.062500,1.250000,-29.445312,0.210938,-0.625000
8.160734,542.125000,38.125000,-193.031250,496.531250,-238.250000,-369.218750,-17.789062,-1239.750000,-2.812500,-0.171875,-4.992188,0.132812,-0.468750
8.224298,549.093750,50.468750,-228.531250,515.156250,-246.468750,-370.500000,-18.328125,-1298.812500,-0.375000,0.890625,-9.742188,0.367188,0.000000
8.287195,573.906250,26.437500,-240.218750,516.406250,-219.062500,-340.781250,-17.984375,-1373.250000,1.875000,-0.914062,24.656250,-0.578125,1.148438
8.350076,572.531250,28.093750,-252.562500,477.687500,-191.437500,-334.062500,-17.804688,-1383.000000,0.000000,-0.773438,-16.226562,-0.476562,0.453125
8.413012,578.125000,41.093750,-242.656250,485.562500,-214.281250,-371.437500,-17.375000,-1347.187500,0.000000,-0.812500,-62.757812,-0.812500,-0.070312
8.475889,568.500000,47.531250,-215.062500,488.343750,-186.625000,-356.593750,-17.515625,-1391.625000,-0.187500,0.570312,21.968750,0.789062,-0.132812
8.538790,581.718750,37.937500,-246.250000,477.500000,-215.250000,-359.250000,-18.296875,-1361.812500,0.000000,0.468750,3.234375,0.125000,-1.445312
8.601954,592.062500,50.812500,-199.000000,467.281250,-216.437500,-344.125000,-19.453125,-1334.250000,0.000000,-1.117188,22.929688,-0.046875,0.000000
8.666349,636.437500,60.031250,-229.968750,527.437500,-206.625000,-353.031250,-18.281250,-1357.875000,-0.187500,0.187500,-8.742188,-0.148438,-0.609375
8.729957,635.375000,44.781250,-275.437500,499.250000,-198.125000,-379.375000,-18.765625,-1353.750000,0.000000,-0.914062,-18.031250,0.187500,1.171875
